CompanyId,TimeFrame,StockDate,Open,High,Low,Close,Doji,Hammer,HangingMan,InvertedHammer,ShootingStar,BullishMarubozu,BearishMarubozu,SuspiciousCandle,BullishEngulfing,BearishEngulfing,BullishHarami,BearishHarami,HaramiCross,PiercingLine,DarkCloudCover,MorningStar,EveningStar,ThreeWhiteSoldiers,ThreeBlackCrows,TweezerTop,TweezerBottom,InsideBar,OutsideBar,NearHigh,NearLow,PatternCount,PatternType,MA,MA_slope,UpTrend_MA,DownTrend_MA,RecentReturn,UpTrend_Return,DownTrend_Return,Volatility,LowVolatility,HighVolatility,ROC,MomentumUp,MomentumDown,ConfirmedUpTrend,ConfirmedDownTrend,ValidHammer,ValidBullishEngulfing,ValidPiercingLine,ValidMorningStar,ValidThreeWhiteSoldiers,ValidBullishMarubozu,ValidTweezerBottom,ValidShootingStar,ValidBearishEngulfing,ValidDarkCloud,ValidEveningStar,ValidThreeBlackCrows,ValidBearishMarubozu,ValidTweezerTop,ValidHaramiCross,ValidBullishHarami,ValidBearishHarami,ValidInsideBar,ValidOutsideBar,ValidCustomSignal1,ValidCustomSignal2,TomorrowClose,TomorrowReturn,Return,AvgReturn,MomentumZ,BuyThresh,SellThresh,MomentumAction,BullScore,BearScore,PatternScore,PatternScoreNorm,PatternAction,CandleAction,CandidateAction,Action,TomorrowAction,TomorrowActionSource,SignalStrengthHybrid,ActionConfidence,BullishStrengthHybrid,BearishStrengthHybrid,SignalDuration,ValidAction,HasValidSignal,SignalStrength,BatchId,IngestedAt,BuyCount,SellCount,HoldCount,Return,BuyRank,SellRank,HoldRank
103448,Daily,2025-09-05,0.015,0.02,0.009,0.01965,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.008992857142857144,0.8037249283667625,True,False,0.31000000000000005,True,False,15.987399030569751,False,True,0.9650000000000001,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.31000000000000005,6.872904761904762,-0.41050484505676815,0.009245193798952587,-0.048413833192385874,Sell,3.0,0.0,3.0,3.0,Buy,Hold,Buy,Hold,Hold,LastRowHold,0.5833862021035207,0.0,0.5833862021035207,0.5833862021035207,194.0,False,True,0,103448_20250908_235630,20250908_235630,0,0,1,0.31000000000000005,293,526,4
77331,Daily,2025-09-05,0.0308,0.0347,0.0308,0.0347,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,4,ThreeWhiteSoldiers,0.03401714285714286,0.07077974638007012,True,False,0.020588235294117574,True,False,0.12378048634797062,True,False,-0.019774011299435013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.020588235294117574,0.020716796636089396,-0.001038623661652218,0.03436248328315981,-0.021704433881901172,Hold,1.0,0.0,1.0,1.0,Buy,Hold,Hold,Hold,Hold,LastRowHold,0.17849833922407654,0.0,0.17849833922407654,0.17849833922407654,219.0,False,True,0,77331_20250908_235151,20250908_235151,0,0,1,0.020588235294117574,290,523,1
78987,Daily,2025-09-05,0.026699,0.0356,0.0258,0.0302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,4,ThreeWhiteSoldiers,0.026585714285714285,0.052006783493498965,True,False,0.010033444816053505,True,False,0.14812831241869576,True,False,0.20799999999999996,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,0.010033444816053505,0.012110711577799837,-0.014023428255057563,0.029345862484775435,-0.025465646444158954,Hold,3.0,0.0,3.0,3.0,Buy,Hold,Hold,Hold,Hold,LastRowHold,0.5158809597759483,0.0,0.5158809597759483,0.5158809597759483,186.0,False,True,1,78987_20250908_235234,20250908_235234,0,0,1,0.010033444816053505,294,527,5
247632,Daily,2025-09-05,0.0025,0.0039,0.0025,0.0039,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,4,ThreeWhiteSoldiers,0.011342857142857142,-0.5397101449275363,False,True,0.7727272727272725,True,False,73.17087216503339,False,True,18.499999999999996,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.7727272727272725,24.29676623376624,-0.32149458199680364,0.037037845607265696,-0.020498340868951297,Sell,1.0,1.0,0.0,0.0,Hold,Buy,Buy,Hold,Hold,LastRowHold,1.0569834498243487,0.0,1.0569834498243487,0.05698344982434877,108.0,False,True,2,247632_20250908_235651,20250908_235651,0,0,1,0.7727272727272725,291,524,2
237736,Daily,2025-09-05,0.0061,0.0249,0.0061,0.0249,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,BullishMarubozu,0.0261,0.23362592842673902,True,False,-0.05323193916349822,False,True,0.016833417178404326,True,False,-0.05323193916349822,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-0.05323193916349822,-0.005323193916349822,-2.8460498982114437,-0.0636589313637941,-0.12180015443339455,Sell,1.0,1.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,LastRowHold,0.48683298108368606,0.0,0.48683298108368606,0.48683298108368606,57.0,False,True,0,237736_20250908_235647,20250908_235647,0,0,1,-0.05323193916349822,292,525,3
250006,Daily,2025-09-05,0.0655,0.08,0.064,0.0798,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.053849999999999995,0.3326851688173942,True,False,0.20817562452687355,True,False,0.1137411438207688,False,True,0.9511002444987775,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.20817562452687355,0.07384952365046843,1.1809807459653625,0.05153954541291163,-0.006752565154456415,Buy,3.0,0.0,3.0,3.0,Buy,Hold,Buy,Hold,Hold,LastRowHold,0.7221607237571772,0.0,0.7221607237571772,0.7221607237571772,208.0,False,True,0,250006_20250908_235656,20250908_235656,0,0,1,0.20817562452687355,295,528,6
87792,Daily,2025-09-05,0.01495,0.0225,0.0143,0.0215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.017564285714285713,0.18084902036112172,True,False,0.028708133971291794,True,False,0.08958079955551296,True,False,0.442953020134228,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.028708133971291794,0.024808072650882418,0.04353679962403684,0.017670187636400148,-0.03801927091076922,Buy,3.0,0.0,3.0,3.0,Buy,Hold,Buy,Hold,Hold,LastRowHold,0.5402687110879021,0.0,0.5402687110879021,0.5402687110879021,184.0,False,True,0,87792_20250908_235323,20250908_235323,0,0,1,0.028708133971291794,1107,1222,700
68857,Daily,2025-09-05,0.021,0.0235,0.021,0.0235,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,6,BullishEngulfing,0.02282714285714286,0.08104999661727907,True,False,0.0981308411214954,True,False,0.09131877478652208,False,True,-0.08560311284046696,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.0981308411214954,0.02360625664938191,0.8160926890043287,0.03393159754689513,-0.024207834690506372,Buy,1.0,1.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,LastRowHold,0.1414965857336111,0.0,0.1414965857336111,0.1414965857336111,187.0,False,True,0,68857_20250908_235035,20250908_235035,0,0,1,0.0981308411214954,1108,1223,701
248509,Daily,2025-09-05,0.0385,0.0386,0.0385,0.0386,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,BullishMarubozu,0.041442714285714284,-0.01057639836289237,False,True,-0.0025839793281652312,False,True,0.25943698221999817,True,False,-0.28251454488001626,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-0.0025839793281652312,0.021071817857536045,-0.0911812841148513,0.030692994221232894,-0.023897236954787668,Sell,0.0,3.0,-3.0,-3.0,Sell,Buy,Sell,Hold,Hold,LastRowHold,1.083470438586286,0.0,1.083470438586286,0.5834704385862861,88.0,False,True,1,248509_20250908_235653,20250908_235653,0,0,1,-0.0025839793281652312,1106,1221,699
44430,Daily,2025-09-05,0.001,0.0012,0.001,0.0012,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,BullishMarubozu,0.0012571428571428573,0.011494252873563315,True,False,-0.07692307692307698,False,True,0.045069770831708954,True,False,-0.07692307692307698,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-0.07692307692307698,-0.007051282051282059,-1.5503028655880462,-0.01143890176720841,-0.07015163272560775,Sell,1.0,1.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,LastRowHold,0.26518810028272044,0.0,0.26518810028272044,0.26518810028272044,130.0,False,True,0,44430_20250908_234659,20250908_234659,0,0,1,-0.07692307692307698,1104,1219,697
