CompanyId,TimeFrame,StockDate,Open,High,Low,Close,Doji,Hammer,HangingMan,InvertedHammer,ShootingStar,BullishMarubozu,BearishMarubozu,SuspiciousCandle,BullishEngulfing,BearishEngulfing,BullishHarami,BearishHarami,HaramiCross,PiercingLine,DarkCloudCover,MorningStar,EveningStar,ThreeWhiteSoldiers,ThreeBlackCrows,TweezerTop,TweezerBottom,InsideBar,OutsideBar,NearHigh,NearLow,PatternCount,PatternType,MA,MA_slope,UpTrend_MA,DownTrend_MA,RecentReturn,UpTrend_Return,DownTrend_Return,Volatility,LowVolatility,HighVolatility,ROC,MomentumUp,MomentumDown,ConfirmedUpTrend,ConfirmedDownTrend,ValidHammer,ValidBullishEngulfing,ValidPiercingLine,ValidMorningStar,ValidThreeWhiteSoldiers,ValidBullishMarubozu,ValidTweezerBottom,ValidShootingStar,ValidBearishEngulfing,ValidDarkCloud,ValidEveningStar,ValidThreeBlackCrows,ValidBearishMarubozu,ValidTweezerTop,ValidHaramiCross,ValidBullishHarami,ValidBearishHarami,ValidInsideBar,ValidOutsideBar,ValidCustomSignal1,ValidCustomSignal2,TomorrowClose,TomorrowReturn,Return,AvgReturn,MomentumZ,BuyThresh,SellThresh,MomentumAction,BullScore,BearScore,PatternScore,PatternScoreNorm,PatternAction,CandleAction,CandidateAction,Action,TomorrowAction,TomorrowActionSource,SignalStrengthHybrid,ActionConfidence,BullishStrengthHybrid,BearishStrengthHybrid,SignalDuration,ValidAction,HasValidSignal,SignalStrength,BatchId,IngestedAt,BuyCount,SellCount,HoldCount,Return,BuyRank,SellRank,HoldRank
73855,Long,2025-09-05,0.091,0.094,0.086,0.0904,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.0867165,0.01767984978288939,True,False,0.1188118811881187,True,False,0.08743207847916729,False,True,0.1188118811881187,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.00022128789555209138,0.01448587782338483,-0.1631505298279236,0.0461942315559951,-0.028567245496667813,Sell,8.0,17.0,-9.0,-0.9,Sell,Hold,Sell,Sell,Hold,LastRowHold,0.2893307803550898,0.2893307803550898,0.2893307803550898,0.2893307803550898,172.0,True,True,1,73855_20250908_231622,20250908_231622,0,1,0,0.00022128789555209138,1066,116,1447
30947,Long,2025-09-05,0.0023,0.0049,0.0023,0.0037,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.00366,0.01949860724233976,True,False,0.19354838709677424,True,False,0.2523070350778472,False,True,0.19354838709677424,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.05714285714285716,0.04598558962075792,0.044220992564304694,0.055700978741047166,-0.02007955726359377,Hold,6.0,19.0,-13.0,-1.3,Sell,Hold,Hold,Hold,Hold,LastRowHold,0.401552469088502,0.0,0.401552469088502,0.401552469088502,163.0,False,True,0,30947_20250908_230927,20250908_230927,0,0,1,0.05714285714285716,1070,1173,661
59234,Long,2025-09-05,0.00646,0.0071,0.00575,0.007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,ThreeWhiteSoldiers,0.005811000000000002,0.5073929961089496,True,False,0.7073170731707317,True,False,0.10761968709142739,True,False,0.7073170731707317,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.06060606060606055,0.05959285841465808,0.009414654686198053,0.030270501849160632,-0.045324161227509,Hold,30.0,0.0,30.0,3.0,Buy,Hold,Hold,Hold,Hold,LastRowHold,0.919959093106953,0.0,0.919959093106953,0.919959093106953,200.0,False,True,0,59234_20250908_231400,20250908_231400,0,0,1,0.06060606060606055,1071,1174,662
78236,Long,2025-09-05,0.0408,0.041,0.0408,0.041,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.0304325,-0.09064423594095505,False,True,0.4690075241848799,True,False,0.24449441567372387,False,True,0.4690075241848799,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.05128205128205132,0.06525147821334895,-0.05713597544877971,0.05635403938200032,-0.020398087333370236,Sell,7.0,19.0,-12.0,-1.2,Sell,Buy,Sell,Sell,Hold,LastRowHold,0.7040675989377853,0.37073426560445194,0.7040675989377853,0.37073426560445194,183.0,True,True,2,78236_20250908_231726,20250908_231726,0,1,0,0.05128205128205132,1065,115,1446
87792,Long,2025-09-05,0.01495,0.0225,0.0143,0.0215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.017037000000000004,0.1026470778590387,True,False,0.23563218390804597,True,False,0.08958079955551296,True,False,0.23563218390804597,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.028708133971291794,0.024808072650882418,0.04353679962403684,0.02695176406092838,-0.04730084733529745,Buy,12.0,11.0,1.0,0.1,Hold,Hold,Hold,Hold,Hold,LastRowHold,0.032438720365831536,0.0,0.032438720365831536,0.032438720365831536,157.0,False,True,0,87792_20250908_231834,20250908_231834,0,0,1,0.028708133971291794,1064,1169,657
77331,Long,2025-09-05,0.0308,0.0347,0.0308,0.0347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.033722,0.0675573002405978,True,False,0.14900662251655628,True,False,0.12378048634797062,False,True,0.14900662251655628,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.020588235294117574,0.020716796636089396,-0.001038623661652218,0.04370696947733664,-0.031048920076078013,Hold,17.0,7.0,10.0,1.0,Buy,Hold,Hold,Hold,Hold,LastRowHold,0.3107351875095685,0.0,0.3107351875095685,0.3107351875095685,187.0,False,True,0,77331_20250908_231705,20250908_231705,0,0,1,0.020588235294117574,1074,1177,665
103316,Long,2025-09-05,0.04145,0.042,0.04145,0.0417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.03881,0.02181594148714905,True,False,0.1313076505697235,True,False,0.04440555433172381,True,False,0.1313076505697235,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.0205580029368575,0.013276745738893436,0.16397176676527278,0.06674884755155487,-0.006551858249757386,Buy,8.0,12.0,-4.0,-0.4,Sell,Hold,Buy,Hold,Hold,LastRowHold,0.1301496543625545,0.0,0.1301496543625545,0.1301496543625545,151.0,False,True,0,103316_20250908_232136,20250908_232136,0,0,1,0.0205580029368575,1072,1175,663
84699,Long,2025-09-05,0.0049,0.005,0.0048,0.005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,ThreeWhiteSoldiers,0.004885,0.019832985386221136,True,False,0.020408163265306145,True,False,0.04859939102749168,True,False,0.020408163265306145,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.05263157894736836,0.003119191520027831,1.018786169549581,0.03933978009447436,-0.03530041925818741,Buy,10.0,12.0,-2.0,-0.2,Hold,Hold,Hold,Hold,Hold,LastRowHold,0.09439680465888015,0.0,0.09439680465888015,0.09439680465888015,175.0,False,True,0,84699_20250908_231814,20250908_231814,0,0,1,0.05263157894736836,1067,1170,658
56811,Long,2025-09-05,0.0317,0.04,0.02,0.0398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,3,ThreeWhiteSoldiers,0.0297701,0.008127300618690825,True,False,0.6310806934142046,True,False,0.17201824066552435,False,True,0.6310806934142046,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.26349206349206344,0.06286600404506107,1.1663068908901564,0.05527429530437167,-0.020967179590751287,Buy,8.0,17.0,-9.0,-0.9,Sell,Hold,Buy,Hold,Hold,LastRowHold,0.31812239911461704,0.0,0.31812239911461704,0.31812239911461704,167.0,False,True,0,56811_20250908_231342,20250908_231342,0,0,1,0.26349206349206344,1068,1171,659
100542,Long,2025-09-05,0.01006,0.01006,0.01006,0.01006,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,BullishMarubozu,0.009668,0.06593164277839025,True,False,0.24197530864197536,True,False,0.07651931128308677,False,True,0.24197530864197536,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.0,0.024197530864197535,-0.3162277660168377,0.03536552744663539,-0.0337498586071915,Sell,10.0,12.0,-2.0,-0.2,Hold,Hold,Hold,Hold,Hold,LastRowHold,0.07510140165653166,0.0,0.07510140165653166,0.07510140165653166,75.0,False,True,0,100542_20250908_232118,20250908_232118,0,0,1,0.0,1069,1172,660
